path,name,size_bytes,size_mb,sha1,type,issues,has_issues,is_duplicate
taller\common\css\documentos_form_numbers.fbea4711.css,documentos_form_numbers.fbea4711.css,632,0.0,f64cf64b7b7e83c6fe49db992495035e80f574cc,CSS,,False,False
taller\common\css\documentos_form_patch.4d4e6390.css,documentos_form_patch.4d4e6390.css,2281,0.0,f59f2582aa6de31fed2e8620162b6d66894bafce,CSS,,False,False
taller\common\css\documento_form.25bf7a9a.css,documento_form.25bf7a9a.css,2731,0.0,4e026b21e5a7fdbfba4d9599fe2451c7731d2ec0,CSS,,False,False
taller\common\css\documento_form_futurista.ba0889b0.css,documento_form_futurista.ba0889b0.css,6215,0.01,29fdd5bf337550decca2d6cbfe2753ce59cc5378,CSS,,False,False
taller\common\css\document_print.feb52b46.css,document_print.feb52b46.css,1330,0.0,636fd8759fed98acc636fd253038409129fbc00d,CSS,,False,False
taller\common\css\dynamic_background.321a32e5.css,dynamic_background.321a32e5.css,9519,0.01,9b476f752c554d7a253e82e515df44b4ff9c733e,CSS,,False,False
taller\common\css\eg-future.219e16bb.css,eg-future.219e16bb.css,4573,0.0,02edb8a222b9098ff0b34de30afb574ada9cfd6d,CSS,,False,False
taller\common\css\estilo_futurista.6c0833be.css,estilo_futurista.6c0833be.css,908,0.0,42cb10d1fcd50a34661af5d8bdbdeaade251255e,CSS,,False,False
taller\common\css\estilo_inicio.18f2356c.css,estilo_inicio.18f2356c.css,1024,0.0,fb74ef848d6787444cd72e58bf96ded2aa937e88,CSS,,False,False
taller\common\css\estilo_landing.64e929be.css,estilo_landing.64e929be.css,157,0.0,871f1b6fc05a5086ee4471f0219832d22e2e7f80,CSS,,False,False
taller\common\css\fondo_general.686b3430.css,fondo_general.686b3430.css,205,0.0,6d5cf8dbd63693fe1a8f5b78ad1318ccb76e30c8,CSS,,False,False
taller\common\css\fondo_video.443bcbbb.css,fondo_video.443bcbbb.css,141,0.0,5f45bbd6cf96c2660b3e874c03181651cf8a3b22,CSS,,False,False
taller\common\css\force_black_text.3485bca9.css,force_black_text.3485bca9.css,636,0.0,4cf01ac1f7226c7385521d01a31f35b9e3335844,CSS,,False,False
taller\common\css\force_fields.fbd88d03.css,force_fields.fbd88d03.css,1216,0.0,5fba8bc9b04d2f35b8145eb3e7045aa95cf14cb0,CSS,,False,False
taller\common\css\formulario_cliente.09ca4aee.css,formulario_cliente.09ca4aee.css,1037,0.0,4f41e0a6db90b1629adadb5c77bdd08a87df8949,CSS,,False,False
taller\common\css\galaxy.3bae5d8c.css,galaxy.3bae5d8c.css,813,0.0,aa0368d92c7a957f8c2b9f9c3de51ca994233b63,CSS,,False,False
taller\common\css\galaxy_theme.41886fb2.css,galaxy_theme.41886fb2.css,578,0.0,d4a9d8cb7e3cf6cde225ebc1b18fbc7094eac8cc,CSS,,False,False
taller\common\css\inicio_general.30dfd993.css,inicio_general.30dfd993.css,1092,0.0,1a287a07111c2ec5b4de99283f81c84668444e03,CSS,,False,False
taller\common\css\landing.7359a3bf.css,landing.7359a3bf.css,753,0.0,e06c91bcbd03d56c8df63ed0bf77db551f8d012e,CSS,,False,False
taller\common\css\landing_tallerpro.104d524e.css,landing_tallerpro.104d524e.css,459,0.0,4d7736714fa94896eed20db2ae7563030d2481c5,CSS,,False,False
taller\common\css\lista_clientes.05c6a456.css,lista_clientes.05c6a456.css,910,0.0,e95b420a4a33b485a2c4d8f80d5824514adb5258,CSS,,False,False
taller\common\css\output.87a7c804.css,output.87a7c804.css,80579,0.08,446229a3a3bd23e65183ddb20bed92458571a71c,CSS,,False,False
taller\common\css\repuestos_cyber.287577aa.css,repuestos_cyber.287577aa.css,7209,0.01,abd157194db7132f146dd996e6c26394e5e69acd,CSS,,False,False
taller\common\css\starfield.88d07cec.css,starfield.88d07cec.css,1017,0.0,1e844c2512c07c4ecb546748aaf6bee80e62e6de,CSS,,False,False
